"","year","plot","trmt","season","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","fs_r2_quantile","fs_evar_quantile","fs_simp_quantile","fs_skew_quantile"
"23",2001,8,"control","winter",1,2,2,2,4,4,5,6,7,7,10,11,14,49,61,82,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,1
"24",2003,8,"control","winter",1,1,2,2,2,4,5,12,14,1378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"25",2004,11,"control","winter",1,1,1,1,2,2,2,3,6,9,24,39,72,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,0,1
"26",2001,12,"control","winter",1,1,3,4,4,5,6,8,9,13,24,36,90,159,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.02,0,1
"27",2005,12,"control","winter",1,1,1,2,3,4,5,5,5,11,14,19,23,33,52,62,308,372,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.01,0,0.84
"28",1995,22,"control","winter",1,1,1,1,2,2,3,7,8,9,9,9,14,15,17,24,32,65,102,103,139,163,176,272,926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0.99
"29",2001,22,"control","winter",1,1,1,2,2,2,3,4,4,6,7,8,12,13,18,22,30,32,37,38,40,46,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.04,0,1
"30",2004,22,"control","winter",1,1,1,1,1,2,2,3,3,3,3,8,9,18,28,40,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"31",1998,3,"krat_removal","winter",1,1,1,2,3,4,5,6,6,6,32,114,297,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"32",2001,3,"krat_removal","winter",1,1,1,1,1,2,2,4,4,5,6,8,8,13,20,32,50,284,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.99
"33",1995,6,"krat_removal","winter",1,1,1,4,4,4,4,5,6,6,13,15,16,18,20,36,48,48,91,121,124,134,135,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.06,0.37
"34",2001,6,"krat_removal","winter",1,1,1,1,2,3,4,4,4,4,6,7,10,12,16,17,18,22,23,151,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.04,0,0.99
"35",1995,13,"krat_removal","winter",2,2,2,3,5,5,7,7,9,12,12,14,20,22,34,38,75,75,79,94,190,450,534,927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,0.93
"36",1998,13,"krat_removal","winter",1,1,1,2,2,3,5,6,10,10,16,36,46,46,52,114,196,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,1
"37",1995,15,"krat_removal","winter",1,1,1,2,3,3,3,3,4,4,4,5,8,14,14,27,75,78,314,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,1
"38",1995,18,"krat_removal","winter",1,1,2,3,4,4,4,6,7,11,12,16,19,23,34,41,47,83,92,100,114,144,146,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.05,0.11,0.44
"39",2001,18,"krat_removal","winter",1,1,1,2,2,2,3,4,5,6,9,12,18,21,22,59,60,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,1
"40",1995,20,"krat_removal","winter",1,1,1,1,2,2,2,2,3,4,6,7,9,27,37,43,55,74,79,81,133,150,386,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.93
"41",2001,20,"krat_removal","winter",1,1,2,2,3,3,3,5,5,6,8,11,12,13,14,14,27,50,64,71,203,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.01,0,0.98
"42",1995,21,"krat_removal","winter",1,2,2,2,2,3,6,6,8,9,10,11,13,14,20,20,22,31,37,39,46,46,70,188,200,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,1
"43",1995,5,"removal","winter",1,1,1,1,2,3,4,4,5,7,8,9,12,12,12,20,22,36,298,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0,0.98
"44",2001,5,"removal","winter",1,2,2,2,4,5,5,5,7,10,12,20,22,254,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0,0.97
"45",2005,5,"removal","winter",1,1,1,1,1,1,2,3,5,11,20,21,212,272,390,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"46",2007,5,"removal","winter",1,1,1,2,8,10,67,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,1
"47",1995,7,"removal","winter",1,1,1,1,2,3,3,3,6,8,12,22,23,25,40,50,73,83,106,229,562,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.96
"48",1995,10,"removal","winter",1,2,2,3,4,11,14,15,19,32,40,41,42,50,52,61,67,110,223,232,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,1
"49",2001,10,"removal","winter",1,1,1,3,4,4,5,31,44,388,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.97
"50",2007,10,"removal","winter",1,4,4,8,107,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0,0,0.99
"51",2001,16,"removal","winter",1,1,1,2,2,2,3,3,4,7,7,10,13,14,28,303,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0,0,0.99
"52",1995,23,"removal","winter",1,1,1,1,1,3,5,6,7,7,12,13,17,20,22,30,33,38,59,105,106,153,156,211,278,1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"53",1997,4,"control","winter",1,1,2,2,2,5,7,8,9,10,12,18,21,24,32,62,156,288,794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.99
"54",1999,4,"control","winter",1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.02,0.02,1
"55",2004,4,"control","winter",1,1,1,2,2,2,4,13,18,52,54,59,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"56",2005,4,"control","winter",1,1,2,2,2,3,5,6,14,89,152,407,558,1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0,0,0.89
"57",2007,4,"control","winter",1,1,1,18,56,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0,0,1
"58",2008,4,"control","winter",1,1,1,2,9,10,36,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0,0,1
"59",1997,8,"control","winter",1,1,1,1,2,2,3,5,5,5,7,7,12,16,24,65,82,107,376,496,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.94
"60",2004,8,"control","winter",1,1,1,2,2,2,6,10,25,92,1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0,0,1
"61",2005,8,"control","winter",1,2,2,4,5,8,10,14,28,38,50,103,486,1282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,0.98
"62",2007,8,"control","winter",1,1,1,1,2,2,4,4,8,24,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,1
"63",2008,8,"control","winter",1,1,4,6,7,10,17,20,24,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0,0,1
"64",1995,11,"control","winter",1,1,4,4,5,7,10,16,16,17,23,27,31,42,44,46,58,59,64,98,133,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.11,0,0.99
"65",1997,11,"control","winter",1,2,2,4,4,5,9,13,15,16,20,21,38,44,62,97,108,144,183,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.05,0.01,0.77
"66",1998,11,"control","winter",1,1,1,1,1,2,3,3,4,4,8,27,116,127,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0.92
"67",2001,11,"control","winter",1,1,1,2,3,8,10,12,20,22,32,39,50,77,166,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,0,1
"68",2005,11,"control","winter",1,1,1,1,1,2,4,7,9,11,11,18,107,303,362,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"69",2007,11,"control","winter",1,1,2,2,6,14,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,0,1
"70",2008,11,"control","winter",2,2,2,4,4,5,7,25,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.06,0,1
"71",1998,12,"control","winter",1,1,1,1,2,3,3,4,6,9,36,78,170,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0,0,0.96
"72",2004,12,"control","winter",1,1,2,2,4,7,72,122,822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,1
"73",2007,12,"control","winter",1,1,2,10,10,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.01,0,1
"74",2009,12,"control","winter",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"75",1995,14,"control","winter",1,3,4,4,4,6,6,8,9,9,10,11,20,32,56,58,96,155,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.13,0.01,0.92
